timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
07/09/2023 14:51:30,370,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,80290,669,10,10,355,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:30,59,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,108,704,10,10,59,1,0,jmeter-injector-07,0,39
07/09/2023 14:51:30,62,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,108,620,10,10,62,1,0,jmeter-injector-07,0,41
07/09/2023 14:51:30,20,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,108,620,10,10,20,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:30,35,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,108,704,10,10,35,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:30,34,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-4,true,242,765,10,10,34,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,35,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,242,765,10,10,35,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,23,cis,201,Created,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,565,258,10,10,23,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,33,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,108,704,10,10,33,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,1490,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,34,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,true,242,765,10,10,34,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,41,Localise,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-10,true,113,782,10,10,41,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,23,cis,201,Created,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,565,258,10,10,23,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,34,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,242,765,10,10,34,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,47,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,242,765,10,10,47,1,0,jmeter-injector-07,0,0
